become: ставати
begin: починати
bring: приносити
buy: купляти
catch: зловити
choose: вибирати
come: приходити
cry: плакати
dream: мріяти
draw: малювати
drink: пити
eat: їсти
fall: падати
feel: відчувати
fight: битися
find: знаходити
fly: літати
forget: забувати
forgive: пробачати
feed: годувати
get: отримати
give: давати
hide: ховати
hear: чути
hurt: пошкодити
hit: вдаряти
hold: тримати
keep: зберігати
know: знати
lay: класти
learn: дізнаватися
leave: залишати
let: дозволяти
lie: брехати
lose: програвати
make: робити
lend: позичати
mean: мати на увазі
meet: зустрічати
pay: платити
put: класти
read: читати
rid: позбуватися
say: казати
see: бачити
seek: шукати
sell: продавати
send: посилати
shoot: стріляти
show: показувати
shut: закривати
sing: співати
sit: сидіти
sleep: спати
speak: говорити
spend: витрачати
stand: стояти
steal: красти
swim: плавати
take: брати
teach: навчати
tell: розповідати
think: думати
understand: розуміти
throw: кидати
wear: носити одяг
win: вигравати
write: писати
look: глянути
use: використовувати
want: хотіти
work: працювати
call: дзвонити
try: спробувати
ask: запитати
need: потребувати
seem: здається
turn: повертати
follow: слідувати
help: допомагати
start: починати
run: бігати
move: рухатися
believe: вірити
set: встановлювати
allow: дозволяти
live: жити
happen: траплятися
carry: нести
talk: розмовляти
appear: з'являтися
offer: пропонувати
